,Art,Biology,Business,Chemistry,Chinese,Chinese(N),ComputerScience,Economics,English,Geography(N),Geography_EN,History,Maths,Music,PE,Physics,Politics,Theatre
A+,0,8,4,8,13,12,0,11,10,6,3,0,21,0,25,5,1,0
A,2,8,2,10,13,19,3,16,2,25,2,4,22,1,45,7,30,0
A-,1,8,2,12,18,7,2,12,4,20,3,7,19,0,24,7,22,0
B+,1,2,3,6,8,22,1,10,13,21,2,5,9,0,15,8,30,0
B,3,1,2,10,3,20,1,13,24,8,1,11,18,0,9,13,1,1
B-,1,2,2,0,1,6,0,8,27,8,3,17,9,0,0,9,9,0
C+,1,0,5,4,0,6,1,5,16,1,0,24,4,0,0,8,0,0
C,3,3,1,1,1,2,0,3,8,2,1,18,6,0,1,5,0,1
C-,1,1,1,0,0,3,0,2,6,1,1,5,2,0,0,9,0,0
D+,0,3,0,1,0,1,0,6,6,0,1,1,2,0,0,0,0,0
D,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
D-,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0
F,0,0,0,1,0,0,2,0,5,1,1,0,5,0,1,1,0,0
